epoch,step,train_loss,train_acc,val_loss,val_acc,num_params,test_acc,rank
1,299,2.3034909675598145,0.1414,2.321834804534912,0.1472,2314058,0.1446,2
1,599,1.9965394330978394,0.19475,2.0066247451782226,0.1987,2314058,0.1955,2
2,299,1.773980200958252,0.286425,1.79020729637146,0.2887,2314058,0.2911,2
2,599,1.7388044208526612,0.300775,1.7501740968704225,0.2993,2314058,0.2959,2
3,299,1.7515636919021607,0.286925,1.7736121490478516,0.2858,2314058,0.2828,2
3,599,1.6349673274993897,0.33955,1.6624766368865966,0.3344,2314058,0.3335,2
4,299,1.7816044343948365,0.3076,1.7950610397338866,0.3106,2314058,0.3035,2
4,599,1.5859424076080322,0.382525,1.6148551891326903,0.3711,2314058,0.3767,2
5,299,1.607698406791687,0.380525,1.6309940170288086,0.3752,2314058,0.3749,2
5,599,1.6560103992462158,0.33035,1.6789562688827515,0.3247,2314058,0.3238,2
6,299,1.564593339729309,0.404175,1.6180389183044435,0.3914,2314058,0.394,2
6,599,1.613439104270935,0.3818,1.6595317226409911,0.3758,2314058,0.3741,2
7,299,1.505295837211609,0.4655,1.546790657043457,0.4562,2314058,0.4527,2
7,599,1.4833419538497925,0.465725,1.516055802154541,0.4633,2314058,0.4541,2
8,299,1.43939126663208,0.478075,1.4892325286865233,0.4599,2314058,0.46,2
8,599,1.524112191772461,0.44315,1.5677244163513184,0.4335,2314058,0.4288,2
9,299,1.4703285158157349,0.469725,1.5211464904785157,0.4554,2314058,0.4486,2
9,599,1.4587147861480714,0.48275,1.4987199682235717,0.4646,2314058,0.4656,2
10,299,1.419975189781189,0.510975,1.4657915494918823,0.4965,2314058,0.496,2
10,599,1.406958186340332,0.51225,1.4738916286468506,0.4928,2314058,0.4938,2
11,299,1.4177315431594848,0.499525,1.4691769498825074,0.4832,2314058,0.4784,2
11,599,1.4095212403297424,0.51205,1.4645218040466308,0.4982,2314058,0.4892,2
12,299,1.4123047561645508,0.51415,1.4630490001678467,0.504,2314058,0.5015,2
12,599,1.3824202808380126,0.51145,1.438986249923706,0.4958,2314058,0.4914,2
13,299,1.471855538368225,0.49675,1.5137732517242433,0.4821,2314058,0.4838,2
13,599,1.3786680006980896,0.528475,1.4361059295654297,0.5074,2314058,0.5117,2
14,299,1.4077586570739746,0.50395,1.450636633872986,0.4878,2314058,0.4821,2
14,599,1.349582816028595,0.531925,1.4011389278411865,0.517,2314058,0.507,2
15,299,1.3611670349121094,0.528975,1.4172446924209594,0.5088,2314058,0.509,2
15,599,1.3513612340927124,0.5395,1.3990368059158325,0.5223,2314058,0.5169,2
16,299,1.3919180835723877,0.529175,1.4356006772994996,0.5164,2314058,0.514,2
16,599,1.5520007001876832,0.446825,1.5946143447875976,0.4303,2314058,0.4266,2
17,299,1.5760855642318725,0.485925,1.6252196264266967,0.4679,2314058,0.4673,2
17,599,1.2880802742004394,0.566275,1.361496000289917,0.5404,2314058,0.537,2
18,299,1.374440322971344,0.54395,1.4218152006149292,0.5319,2314058,0.5221,2
18,599,1.419380530834198,0.510825,1.4775661376953124,0.4929,2314058,0.4901,2
19,299,1.4023498781204224,0.528425,1.4491830673217774,0.5145,2314058,0.5036,2
19,599,1.3235158228874206,0.546075,1.3797649547576905,0.5313,2314058,0.5234,2
20,299,1.335032752609253,0.53805,1.4075695825576782,0.5183,2314058,0.5098,2
20,599,1.4493803197860717,0.49925,1.4975683206558228,0.487,2314058,0.4828,2
21,299,1.301594271183014,0.566775,1.3895458194732666,0.5409,2353994,0.5444,4
21,599,1.1130686923980713,0.606325,1.2191913283348084,0.5743,2353994,0.5741,4
22,299,1.0845834812164306,0.6149,1.194940380859375,0.5822,2353994,0.5791,4
22,599,1.0436966923713684,0.6263,1.1519774301528931,0.5926,2353994,0.5869,4
23,299,1.021925177192688,0.634875,1.1695675617218018,0.5915,2353994,0.5972,4
23,599,0.9983172240257263,0.6547,1.1174640511512757,0.6115,2353994,0.6157,4
24,299,0.9448694516181946,0.66775,1.1021681960105896,0.6237,2353994,0.6207,4
24,599,0.9272918003082276,0.6709,1.0799865653991698,0.6281,2353994,0.6216,4
